states,states_code,id,year,population
Alaska,AK,2.0,2010.0,713910.0
Arizona,AZ,4.0,2010.0,6407172.0
Arkansas,AR,5.0,2010.0,2921964.0
California,CA,6.0,2010.0,37319502.0
Colorado,CO,8.0,2010.0,5047349.0
Connecticut,CT,9.0,2010.0,3579114.0
Delaware,DE,10.0,2010.0,899593.0
District of Columbia,DC,11.0,2010.0,605226.0
Florida,FL,12.0,2010.0,18845537.0
Georgia,GA,13.0,2010.0,9711881.0
Hawaii,HI,15.0,2010.0,1363963.0
Idaho,ID,16.0,2010.0,1570746.0
Illinois,IL,17.0,2010.0,12840503.0
Indiana,IN,18.0,2010.0,6490432.0
Iowa,IA,19.0,2010.0,3050745.0
Kansas,KS,20.0,2010.0,2858190.0
Kentucky,KY,21.0,2010.0,4348181.0
Louisiana,LA,22.0,2010.0,4544532.0
Maine,ME,23.0,2010.0,1327629.0
Maryland,MD,24.0,2010.0,5788645.0
Massachusetts,MA,25.0,2010.0,6566307.0
Michigan,MI,26.0,2010.0,9877510.0
Minnesota,MN,27.0,2010.0,5310828.0
Mississippi,MS,28.0,2010.0,2970548.0
Missouri,MO,29.0,2010.0,5995974.0
Montana,MT,30.0,2010.0,990697.0
Nebraska,NE,31.0,2010.0,1829542.0
Nevada,NV,32.0,2010.0,2702405.0
New Hampshire,NH,33.0,2010.0,1316762.0
New Jersey,NJ,34.0,2010.0,8799446.0
New Mexico,NM,35.0,2010.0,2064552.0
New York,NY,36.0,2010.0,19399878.0
North Carolina,NC,37.0,2010.0,9574323.0
North Dakota,ND,38.0,2010.0,674715.0
Ohio,OH,39.0,2010.0,11539336.0
Oklahoma,OK,40.0,2010.0,3759944.0
Oregon,OR,41.0,2010.0,3837491.0
Pennsylvania,PA,42.0,2010.0,12711160.0
Rhode Island,RI,44.0,2010.0,1053959.0
South Carolina,SC,45.0,2010.0,4635649.0
South Dakota,SD,46.0,2010.0,816166.0
Tennessee,TN,47.0,2010.0,6355311.0
Texas,TX,48.0,2010.0,25241971.0
Utah,UT,49.0,2010.0,2775332.0
Vermont,VT,50.0,2010.0,625879.0
Virginia,VA,51.0,2010.0,8023699.0
Washington,WA,53.0,2010.0,6742830.0
West Virginia,WV,54.0,2010.0,1854239.0
Wisconsin,WI,55.0,2010.0,5690475.0
Wyoming,WY,56.0,2010.0,564487.0
Puerto Rico,PR,72.0,2010.0,3721525.0
,,,,
Alaska,AK,2.0,2011.0,722128.0
Arizona,AZ,4.0,2011.0,6472643.0
Arkansas,AR,5.0,2011.0,2940667.0
California,CA,6.0,2011.0,37638369.0
Colorado,CO,8.0,2011.0,5121108.0
Connecticut,CT,9.0,2011.0,3588283.0
Delaware,DE,10.0,2011.0,907381.0
District of Columbia,DC,11.0,2011.0,619800.0
Florida,FL,12.0,2011.0,19053237.0
Georgia,GA,13.0,2011.0,9802431.0
Hawaii,HI,15.0,2011.0,1379329.0
Idaho,ID,16.0,2011.0,1583910.0
Illinois,IL,17.0,2011.0,12867454.0
Indiana,IN,18.0,2011.0,6516528.0
Iowa,IA,19.0,2011.0,3066336.0
Kansas,KS,20.0,2011.0,2869225.0
Kentucky,KY,21.0,2011.0,4369821.0
Louisiana,LA,22.0,2011.0,4575625.0
Maine,ME,23.0,2011.0,1328284.0
Maryland,MD,24.0,2011.0,5839419.0
Massachusetts,MA,25.0,2011.0,6613583.0
Michigan,MI,26.0,2011.0,9882412.0
Minnesota,MN,27.0,2011.0,5346143.0
Mississippi,MS,28.0,2011.0,2978731.0
Missouri,MO,29.0,2011.0,6010275.0
Montana,MT,30.0,2011.0,997316.0
Nebraska,NE,31.0,2011.0,1840672.0
Nevada,NV,32.0,2011.0,2712730.0
New Hampshire,NH,33.0,2011.0,1320202.0
New Jersey,NJ,34.0,2011.0,8828117.0
New Mexico,NM,35.0,2011.0,2080450.0
New York,NY,36.0,2011.0,19499241.0
North Carolina,NC,37.0,2011.0,9657592.0
North Dakota,ND,38.0,2011.0,685225.0
Ohio,OH,39.0,2011.0,11544663.0
Oklahoma,OK,40.0,2011.0,3788379.0
Oregon,OR,41.0,2011.0,3872036.0
Pennsylvania,PA,42.0,2011.0,12745815.0
Rhode Island,RI,44.0,2011.0,1053649.0
South Carolina,SC,45.0,2011.0,4671994.0
South Dakota,SD,46.0,2011.0,823579.0
Tennessee,TN,47.0,2011.0,6399291.0
Texas,TX,48.0,2011.0,25645629.0
Utah,UT,49.0,2011.0,2814384.0
Vermont,VT,50.0,2011.0,627049.0
Virginia,VA,51.0,2011.0,8101155.0
Washington,WA,53.0,2011.0,6826627.0
West Virginia,WV,54.0,2011.0,1856301.0
Wisconsin,WI,55.0,2011.0,5705288.0
Wyoming,WY,56.0,2011.0,567299.0
Puerto Rico,PR,72.0,2011.0,3678732.0
,,,,
Alaska,AK,2.0,2012.0,730443.0
Arizona,AZ,4.0,2012.0,6554978.0
Arkansas,AR,5.0,2012.0,2952164.0
California,CA,6.0,2012.0,37948800.0
Colorado,CO,8.0,2012.0,5192647.0
Connecticut,CT,9.0,2012.0,3594547.0
Delaware,DE,10.0,2012.0,915179.0
District of Columbia,DC,11.0,2012.0,634924.0
Florida,FL,12.0,2012.0,19297822.0
Georgia,GA,13.0,2012.0,9901430.0
Hawaii,HI,15.0,2012.0,1394804.0
Idaho,ID,16.0,2012.0,1595324.0
Illinois,IL,17.0,2012.0,12882510.0
Indiana,IN,18.0,2012.0,6537703.0
Iowa,IA,19.0,2012.0,3076190.0
Kansas,KS,20.0,2012.0,2885257.0
Kentucky,KY,21.0,2012.0,4386346.0
Louisiana,LA,22.0,2012.0,4600972.0
Maine,ME,23.0,2012.0,1327729.0
Maryland,MD,24.0,2012.0,5886992.0
Massachusetts,MA,25.0,2012.0,6663005.0
Michigan,MI,26.0,2012.0,9897145.0
Minnesota,MN,27.0,2012.0,5376643.0
Mississippi,MS,28.0,2012.0,2983816.0
Missouri,MO,29.0,2012.0,6024367.0
Montana,MT,30.0,2012.0,1003783.0
Nebraska,NE,31.0,2012.0,1853303.0
Nevada,NV,32.0,2012.0,2743996.0
New Hampshire,NH,33.0,2012.0,1324232.0
New Jersey,NJ,34.0,2012.0,8844942.0
New Mexico,NM,35.0,2012.0,2087309.0
New York,NY,36.0,2012.0,19572932.0
North Carolina,NC,37.0,2012.0,9749476.0
North Dakota,ND,38.0,2012.0,701176.0
Ohio,OH,39.0,2012.0,11548923.0
Oklahoma,OK,40.0,2012.0,3818814.0
Oregon,OR,41.0,2012.0,3899001.0
Pennsylvania,PA,42.0,2012.0,12767118.0
Rhode Island,RI,44.0,2012.0,1054621.0
South Carolina,SC,45.0,2012.0,4717354.0
South Dakota,SD,46.0,2012.0,833566.0
Tennessee,TN,47.0,2012.0,6453898.0
Texas,TX,48.0,2012.0,26084481.0
Utah,UT,49.0,2012.0,2853375.0
Vermont,VT,50.0,2012.0,626090.0
Virginia,VA,51.0,2012.0,8185080.0
Washington,WA,53.0,2012.0,6897058.0
West Virginia,WV,54.0,2012.0,1856872.0
Wisconsin,WI,55.0,2012.0,5719960.0
Wyoming,WY,56.0,2012.0,576305.0
Puerto Rico,PR,72.0,2012.0,3634488.0
,,,,
Alaska,AK,2.0,2013.0,737068.0
Arizona,AZ,4.0,2013.0,6632764.0
Arkansas,AR,5.0,2013.0,2959400.0
California,CA,6.0,2013.0,38260787.0
Colorado,CO,8.0,2013.0,5269035.0
Connecticut,CT,9.0,2013.0,3594841.0
Delaware,DE,10.0,2013.0,923576.0
District of Columbia,DC,11.0,2013.0,650581.0
Florida,FL,12.0,2013.0,19545621.0
Georgia,GA,13.0,2013.0,9972479.0
Hawaii,HI,15.0,2013.0,1408243.0
Idaho,ID,16.0,2013.0,1611206.0
Illinois,IL,17.0,2013.0,12895129.0
Indiana,IN,18.0,2013.0,6568713.0
Iowa,IA,19.0,2013.0,3092997.0
Kansas,KS,20.0,2013.0,2893212.0
Kentucky,KY,21.0,2013.0,4404659.0
Louisiana,LA,22.0,2013.0,4624527.0
Maine,ME,23.0,2013.0,1328009.0
Maryland,MD,24.0,2013.0,5923188.0
Massachusetts,MA,25.0,2013.0,6713315.0
Michigan,MI,26.0,2013.0,9913065.0
Minnesota,MN,27.0,2013.0,5413479.0
Mississippi,MS,28.0,2013.0,2988711.0
Missouri,MO,29.0,2013.0,6040715.0
Montana,MT,30.0,2013.0,1013569.0
Nebraska,NE,31.0,2013.0,1865279.0
Nevada,NV,32.0,2013.0,2775970.0
New Hampshire,NH,33.0,2013.0,1326622.0
New Jersey,NJ,34.0,2013.0,8856972.0
New Mexico,NM,35.0,2013.0,2092273.0
New York,NY,36.0,2013.0,19624447.0
North Carolina,NC,37.0,2013.0,9843336.0
North Dakota,ND,38.0,2013.0,722036.0
Ohio,OH,39.0,2013.0,11576684.0
Oklahoma,OK,40.0,2013.0,3853214.0
Oregon,OR,41.0,2013.0,3922468.0
Pennsylvania,PA,42.0,2013.0,12776309.0
Rhode Island,RI,44.0,2013.0,1055081.0
South Carolina,SC,45.0,2013.0,4764080.0
South Dakota,SD,46.0,2013.0,842316.0
Tennessee,TN,47.0,2013.0,6494340.0
Texas,TX,48.0,2013.0,26480266.0
Utah,UT,49.0,2013.0,2897640.0
Vermont,VT,50.0,2013.0,626210.0
Virginia,VA,51.0,2013.0,8252427.0
Washington,WA,53.0,2013.0,6963985.0
West Virginia,WV,54.0,2013.0,1853914.0
Wisconsin,WI,55.0,2013.0,5736754.0
Wyoming,WY,56.0,2013.0,582122.0
Puerto Rico,PR,72.0,2013.0,3593077.0
,,,,
Alaska,AK,2.0,2014.0,736283.0
Arizona,AZ,4.0,2014.0,6730413.0
Arkansas,AR,5.0,2014.0,2967392.0
California,CA,6.0,2014.0,38596972.0
Colorado,CO,8.0,2014.0,5350101.0
Connecticut,CT,9.0,2014.0,3594524.0
Delaware,DE,10.0,2014.0,932487.0
District of Columbia,DC,11.0,2014.0,662328.0
Florida,FL,12.0,2014.0,19845911.0
Georgia,GA,13.0,2014.0,10067278.0
Hawaii,HI,15.0,2014.0,1414538.0
Idaho,ID,16.0,2014.0,1631112.0
Illinois,IL,17.0,2014.0,12884493.0
Indiana,IN,18.0,2014.0,6593644.0
Iowa,IA,19.0,2014.0,3109350.0
Kansas,KS,20.0,2014.0,2900475.0
Kentucky,KY,21.0,2014.0,4414349.0
Louisiana,LA,22.0,2014.0,4644013.0
Maine,ME,23.0,2014.0,1330513.0
Maryland,MD,24.0,2014.0,5957283.0
Massachusetts,MA,25.0,2014.0,6762596.0
Michigan,MI,26.0,2014.0,9929848.0
Minnesota,MN,27.0,2014.0,5451079.0
Mississippi,MS,28.0,2014.0,2990468.0
Missouri,MO,29.0,2014.0,6056202.0
Montana,MT,30.0,2014.0,1021869.0
Nebraska,NE,31.0,2014.0,1879321.0
Nevada,NV,32.0,2014.0,2817628.0
New Hampshire,NH,33.0,2014.0,1333341.0
New Jersey,NJ,34.0,2014.0,8864525.0
New Mexico,NM,35.0,2014.0,2089568.0
New York,NY,36.0,2014.0,19651049.0
North Carolina,NC,37.0,2014.0,9932887.0
North Dakota,ND,38.0,2014.0,737401.0
Ohio,OH,39.0,2014.0,11602700.0
Oklahoma,OK,40.0,2014.0,3878187.0
Oregon,OR,41.0,2014.0,3963244.0
Pennsylvania,PA,42.0,2014.0,12788313.0
Rhode Island,RI,44.0,2014.0,1055936.0
South Carolina,SC,45.0,2014.0,4823617.0
South Dakota,SD,46.0,2014.0,849129.0
Tennessee,TN,47.0,2014.0,6541223.0
Texas,TX,48.0,2014.0,26964333.0
Utah,UT,49.0,2014.0,2936879.0
Vermont,VT,50.0,2014.0,625214.0
Virginia,VA,51.0,2014.0,8310993.0
Washington,WA,53.0,2014.0,7054655.0
West Virginia,WV,54.0,2014.0,1849489.0
Wisconsin,WI,55.0,2014.0,5751525.0
Wyoming,WY,56.0,2014.0,582531.0
Puerto Rico,PR,72.0,2014.0,3534874.0
,,,,
Alaska,AK,2.0,2015.0,737498.0
Arizona,AZ,4.0,2015.0,6829676.0
Arkansas,AR,5.0,2015.0,2978048.0
California,CA,6.0,2015.0,38918045.0
Colorado,CO,8.0,2015.0,5450623.0
Connecticut,CT,9.0,2015.0,3587122.0
Delaware,DE,10.0,2015.0,941252.0
District of Columbia,DC,11.0,2015.0,675400.0
Florida,FL,12.0,2015.0,20209042.0
Georgia,GA,13.0,2015.0,10178447.0
Hawaii,HI,15.0,2015.0,1422052.0
Idaho,ID,16.0,2015.0,1651059.0
Illinois,IL,17.0,2015.0,12858913.0
Indiana,IN,18.0,2015.0,6608422.0
Iowa,IA,19.0,2015.0,3120960.0
Kansas,KS,20.0,2015.0,2909011.0
Kentucky,KY,21.0,2015.0,4425976.0
Louisiana,LA,22.0,2015.0,4664628.0
Maine,ME,23.0,2015.0,1328262.0
Maryland,MD,24.0,2015.0,5985562.0
Massachusetts,MA,25.0,2015.0,6794228.0
Michigan,MI,26.0,2015.0,9931715.0
Minnesota,MN,27.0,2015.0,5482032.0
Mississippi,MS,28.0,2015.0,2988471.0
Missouri,MO,29.0,2015.0,6071732.0
Montana,MT,30.0,2015.0,1030475.0
Nebraska,NE,31.0,2015.0,1891277.0
Nevada,NV,32.0,2015.0,2866939.0
New Hampshire,NH,33.0,2015.0,1336350.0
New Jersey,NJ,34.0,2015.0,8867949.0
New Mexico,NM,35.0,2015.0,2089291.0
New York,NY,36.0,2015.0,19654666.0
North Carolina,NC,37.0,2015.0,10031646.0
North Dakota,ND,38.0,2015.0,754066.0
Ohio,OH,39.0,2015.0,11617527.0
Oklahoma,OK,40.0,2015.0,3909500.0
Oregon,OR,41.0,2015.0,4015792.0
Pennsylvania,PA,42.0,2015.0,12784826.0
Rhode Island,RI,44.0,2015.0,1056065.0
South Carolina,SC,45.0,2015.0,4891938.0
South Dakota,SD,46.0,2015.0,853988.0
Tennessee,TN,47.0,2015.0,6591170.0
Texas,TX,48.0,2015.0,27470056.0
Utah,UT,49.0,2015.0,2981835.0
Vermont,VT,50.0,2015.0,625216.0
Virginia,VA,51.0,2015.0,8361808.0
Washington,WA,53.0,2015.0,7163657.0
West Virginia,WV,54.0,2015.0,1842050.0
Wisconsin,WI,55.0,2015.0,5760940.0
Wyoming,WY,56.0,2015.0,585613.0
Puerto Rico,PR,72.0,2015.0,3473232.0
